id;transition;regime_num;regime_nom;etat_anterieur;etat_posterieur;dimension_n;dimension_G;dimension_I;dimension_E;dimension_Pi;dimension_H;date;date_incertitude;preuves_directes;preuves_indirectes;modeles_concurrents;seuil_ou_plage;vitesse_de_variation;etats_devenus_accessibles;etats_fermes;pertes;mecanismes_de_persistance;contre_exemples;niveau_de_preuve;evaluateurs;source_du_remplissage
TR-001;Passage au régime électrofaible brisé;1;Physique fondamentale;;Passage au régime électrofaible brisé;champs, particules et noyaux pertinents au régime primordial — cas: Passage au régime électrofaible brisé;état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Passage au régime électrofaible brisé;interactions fondamentales, réactions et découplages thermiques;"température et densité de l'Univers en expansion — fenêtre: ~10⁻¹² s; physique des particules";persistance par stabilité des particules/noyaux et refroidissement cosmique;héritage/dépendance au chemin depuis: antécédent historique non résolu;"~10⁻¹² s; physique des particules";;;;;;;Particules élémentaires massives;;;;;"Inféré; mécanisme standard";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Particle Data Group, Review of Particle Physics — Big-Bang cosmology — https://pdg.lbl.gov/2023/reviews/rpp2022-rev-bbang-cosmology.pdf"
TR-002;Asymétrie matière-antimatière;1;Physique fondamentale;;Asymétrie matière-antimatière;champs, particules et noyaux pertinents au régime primordial — cas: Asymétrie matière-antimatière;état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Asymétrie matière-antimatière;interactions fondamentales, réactions et découplages thermiques;"température et densité de l'Univers en expansion — fenêtre: Univers primordial; date et mécanisme inconnus";persistance par stabilité des particules/noyaux et refroidissement cosmique;héritage/dépendance au chemin depuis: antécédent historique non résolu;"Univers primordial; date et mécanisme inconnus";;;;;;;Survie d'une matière baryonique durable;;;;;"Asymétrie observée; mécanisme hypothétique";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Particle Data Group, Review of Particle Physics — Big-Bang cosmology — https://pdg.lbl.gov/2023/reviews/rpp2022-rev-bbang-cosmology.pdf"
TR-003;Confinement des quarks;1;Physique fondamentale;;Confinement des quarks;champs, particules et noyaux pertinents au régime primordial — cas: Confinement des quarks;état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Confinement des quarks;interactions fondamentales, réactions et découplages thermiques;"température et densité de l'Univers en expansion — fenêtre: ~10⁻⁵ s; QCD et abondance des hadrons";persistance par stabilité des particules/noyaux et refroidissement cosmique;héritage/dépendance au chemin depuis: antécédent historique non résolu;"~10⁻⁵ s; QCD et abondance des hadrons";;;;;;;Hadrons, dont protons et neutrons;;;;;"Inféré; appuyé expérimentalement";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Particle Data Group, Review of Particle Physics — Big-Bang cosmology — https://pdg.lbl.gov/2023/reviews/rpp2022-rev-bbang-cosmology.pdf"
TR-004;Nucléosynthèse primordiale;1;Physique fondamentale;"TR-001 Passage au régime électrofaible brisé ; TR-002 Asymétrie matière-antimatière ; TR-003 Confinement des quarks";Nucléosynthèse primordiale;champs, particules et noyaux pertinents au régime primordial — cas: Nucléosynthèse primordiale;état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Nucléosynthèse primordiale;interactions fondamentales, réactions et découplages thermiques;"température et densité de l'Univers en expansion — fenêtre: ~10 s à 20 min; abondances légères";persistance par stabilité des particules/noyaux et refroidissement cosmique;"héritage/dépendance au chemin depuis: TR-001 Passage au régime électrofaible brisé ; TR-002 Asymétrie matière-antimatière ; TR-003 Confinement des quarks";"~10 s à 20 min; abondances légères";;;;;;;Noyaux légers;;;;;Inféré à partir d'archives;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Particle Data Group, Review of Particle Physics — Big-Bang cosmology — https://pdg.lbl.gov/2023/reviews/rpp2022-rev-bbang-cosmology.pdf"
TR-005;Recombinaison cosmologique (He puis H);1;Physique fondamentale;TR-004 Nucléosynthèse primordiale;Recombinaison cosmologique (He puis H);champs, particules et noyaux pertinents au régime primordial — cas: Recombinaison cosmologique (He puis H);état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Recombinaison cosmologique (He puis H);interactions fondamentales, réactions et découplages thermiques;"température et densité de l'Univers en expansion — fenêtre: L’hélium se neutralise avant l’hydrogène; transparence cosmique vers 380 000 ans";persistance par stabilité des particules/noyaux et refroidissement cosmique;héritage/dépendance au chemin depuis: TR-004 Nucléosynthèse primordiale;"L’hélium se neutralise avant l’hydrogène; transparence cosmique vers 380 000 ans";;;;;;;Atomes neutres, chimie primordiale et transparence cosmique;"Régime opaque couplé matière-rayonnement ; chimie ionisée du plasma primordial.";;;;Inféré à partir d’archives et de modèles;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Particle Data Group, Review of Particle Physics — Big-Bang cosmology — https://pdg.lbl.gov/2023/reviews/rpp2022-rev-bbang-cosmology.pdf"
TR-006;Effondrement des premiers nuages stellaires;2;Atomes et étoiles;TR-012 Formation de H₂ et HD;Effondrement des premiers nuages stellaires;gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Effondrement des premiers nuages stellaires;nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Effondrement des premiers nuages stellaires;gravitation, refroidissement radiatif, fusion et réactions neutroniques;"densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Quelques centaines de Ma; galaxies très anciennes";maintien gravitationnel et signatures nucléosynthétiques conservées;héritage/dépendance au chemin depuis: TR-012 Formation de H₂ et HD;"Quelques centaines de Ma; galaxies très anciennes";;;;;;;Premières étoiles;;;;;Reconstruit et modélisé;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm & Larson (2004), The First Stars — https://doi.org/10.1146/annurev.astro.42.053102.134034"
TR-007;Nucléosynthèse stellaire;2;Atomes et étoiles;TR-006 Effondrement des premiers nuages stellaires;Nucléosynthèse stellaire;gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Nucléosynthèse stellaire;nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Nucléosynthèse stellaire;gravitation, refroidissement radiatif, fusion et réactions neutroniques;densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Premières étoiles puis processus continu;maintien gravitationnel et signatures nucléosynthétiques conservées;héritage/dépendance au chemin depuis: TR-006 Effondrement des premiers nuages stellaires;Premières étoiles puis processus continu;;;;;;;Éléments jusqu'aux groupes du fer;;;;;Observé et modélisé;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm & Larson (2004), The First Stars — https://doi.org/10.1146/annurev.astro.42.053102.134034"
TR-008;Étoiles AGB, processus s et poussières;2;Atomes et étoiles;TR-006 Effondrement des premiers nuages stellaires;Étoiles AGB, processus s et poussières;gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Étoiles AGB, processus s et poussières;nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Étoiles AGB, processus s et poussières;gravitation, refroidissement radiatif, fusion et réactions neutroniques;densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Après les premières générations stellaires;maintien gravitationnel et signatures nucléosynthétiques conservées;héritage/dépendance au chemin depuis: TR-006 Effondrement des premiers nuages stellaires;Après les premières générations stellaires;;;;;;;Carbone, noyaux lourds et grains;;;;;"Observé; histoire inférée";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm & Larson (2004), The First Stars — https://doi.org/10.1146/annurev.astro.42.053102.134034"
TR-009;Explosions stellaires et enrichissement;2;Atomes et étoiles;TR-007 Nucléosynthèse stellaire;Explosions stellaires et enrichissement;gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Explosions stellaires et enrichissement;nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Explosions stellaires et enrichissement;gravitation, refroidissement radiatif, fusion et réactions neutroniques;densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Premières étoiles massives puis processus continu;maintien gravitationnel et signatures nucléosynthétiques conservées;héritage/dépendance au chemin depuis: TR-007 Nucléosynthèse stellaire;Premières étoiles massives puis processus continu;;;;;;;Dispersion des éléments et nouvelles générations;;;;;Observé;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm & Larson (2004), The First Stars — https://doi.org/10.1146/annurev.astro.42.053102.134034"
TR-010;Matière neutronique et fusions d'étoiles à neutrons;2;Atomes et étoiles;TR-006 Effondrement des premiers nuages stellaires;Matière neutronique et fusions d'étoiles à neutrons;gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Matière neutronique et fusions d'étoiles à neutrons;nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Matière neutronique et fusions d'étoiles à neutrons;gravitation, refroidissement radiatif, fusion et réactions neutroniques;"densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Après les premières étoiles massives; encore actif";maintien gravitationnel et signatures nucléosynthétiques conservées;héritage/dépendance au chemin depuis: TR-006 Effondrement des premiers nuages stellaires;"Après les premières étoiles massives; encore actif";;;;;;;Phases denses et nucléosynthèse r;;;;;"Observé; phases internes hypothétiques";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm & Larson (2004), The First Stars — https://doi.org/10.1146/annurev.astro.42.053102.134034"
TR-011;Formation de HeH+;3;Molécules;TR-005 Recombinaison cosmologique (He puis H);Formation de HeH+;atomes, ions, molécules, glaces et grains réactifs — cas: Formation de HeH+;réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Formation de HeH+;réactions gaz-phase/surface, adsorption, désorption et photchimie;"température, densité, UV et rayonnement cosmique — fenêtre: Post-recombinaison; détection actuelle dans NGC 7027";stockage dans liaisons moléculaires, glaces et grains;héritage/dépendance au chemin depuis: TR-005 Recombinaison cosmologique (He puis H);"Post-recombinaison; détection actuelle dans NGC 7027";;;;;;;Première liaison moléculaire cosmique candidate;;;;;"Existence observée; présence primordiale inférée";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm et al. (2002), The Formation of the First Stars I — https://arxiv.org/abs/astro-ph/0102503"
TR-012;Formation de H₂ et HD;3;Molécules;TR-005 Recombinaison cosmologique (He puis H);Formation de H₂ et HD;atomes, ions, molécules, glaces et grains réactifs — cas: Formation de H₂ et HD;réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Formation de H₂ et HD;réactions gaz-phase/surface, adsorption, désorption et photchimie;"température, densité, UV et rayonnement cosmique — fenêtre: Après la recombinaison; avant les premières étoiles";stockage dans liaisons moléculaires, glaces et grains;héritage/dépendance au chemin depuis: TR-005 Recombinaison cosmologique (He puis H);"Après la recombinaison; avant les premières étoiles";;;;;;;Refroidissement moléculaire du gaz primordial;;;;;Inféré et modélisé;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm et al. (2002), The Formation of the First Stars I — https://arxiv.org/abs/astro-ph/0102503"
TR-013;Chimie carbonée simple du milieu interstellaire;3;Molécules;TR-009 Explosions stellaires et enrichissement;Chimie carbonée simple du milieu interstellaire;atomes, ions, molécules, glaces et grains réactifs — cas: Chimie carbonée simple du milieu interstellaire;réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Chimie carbonée simple du milieu interstellaire;réactions gaz-phase/surface, adsorption, désorption et photchimie;"température, densité, UV et rayonnement cosmique — fenêtre: Après l'enrichissement stellaire; toujours active";stockage dans liaisons moléculaires, glaces et grains;héritage/dépendance au chemin depuis: TR-009 Explosions stellaires et enrichissement;"Après l'enrichissement stellaire; toujours active";;;;;;;Réseaux de molécules C, N et O;;;;;Observé;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm et al. (2002), The Formation of the First Stars I — https://arxiv.org/abs/astro-ph/0102503"
