Grande famille;Phase ou état;Organisation;Conditions;Réservoirs ou exemples;Statut empirique;Transformations associées;Source URL
Phase classique;Solide cristallin;Ordre périodique à longue portée;Température et pression compatibles avec le réseau;Minéraux, métaux, glaces;Confirmé;Fusion, sublimation, transformations polymorphes;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase classique;Solide amorphe;Absence d'ordre périodique à longue portée;Refroidissement rapide ou frustration structurale;Verres, poussières, polymères;Confirmé;Transition vitreuse, cristallisation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase classique;Verre;Solide amorphe hors équilibre;Refroidissement sous la température de transition vitreuse;Silicates, polymères, glaces amorphes;Confirmé;Relaxation, dévitrification;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase classique;Liquide;Ordre local et écoulement;Entre fusion et vaporisation selon pression;Océans, magmas, fluides industriels;Confirmé;Solidification, vaporisation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase classique;Gaz;Particules faiblement liées;Faible densité ou haute température;Atmosphères, milieu interstellaire;Confirmé;Condensation, ionisation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase ionisée;Plasma thermique;Ions et électrons quasi libres proches d'un équilibre thermique;Haute température;Étoiles, arcs, foudre;Confirmé;Recombinaison, expansion, rayonnement;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase ionisée;Plasma non thermique;Électrons plus énergétiques que les espèces lourdes;Décharges, rayonnement, faibles densités;Ionosphères, laboratoires;Confirmé;Chimie plasma, recombinaison;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase supercritique;Fluide supercritique;Continuité entre liquide et gaz au-delà du point critique;Température et pression supérieures au point critique;Intérieurs planétaires, procédés industriels;Confirmé;Décompression, refroidissement;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Mesophase;Cristal liquide nématique;Orientation collective sans ordre positionnel complet;Fenêtre de température et composition;Matériaux organiques, écrans;Confirmé;Transitions vers isotrope ou smectique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Mesophase;Cristal liquide smectique;Couches avec ordre orienté;Fenêtre thermodynamique;Matériaux organiques;Confirmé;Transitions de mésophase;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Mesophase;Phase cholestérique;Ordre nématique hélicoïdal;Molécules chirales;Biomatériaux, écrans;Confirmé;Transitions de mésophase;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Mesophase;Cristal plastique;Ordre positionnel avec rotations moléculaires;Température intermédiaire;Solides moléculaires;Confirmé;Ordre-désordre;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase granulaire;Matière granulaire dense;Grains en contacts dissipatifs;Confinement et contrainte;Sables, régolithes, poudres;Confirmé;Écoulement, compaction, jamming;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase granulaire;État bloqué ou jammé;Réseau de contacts porteur de contrainte;Densité ou charge suffisante;Poudres, mousses, suspensions;Confirmé;Déblocage, cisaillement;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase dispersée;Colloïde;Particules mésoscopiques dispersées;Solvant, interactions de surface;Aérosols, sols, cellules;Confirmé;Agrégation, sédimentation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase dispersée;Gel;Réseau percolant emprisonnant un fluide;Réticulation physique ou chimique;Biologie, aliments, matériaux;Confirmé;Gélification, synérèse;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase dispersée;Mousse;Bulles séparées par des films;Gaz dispersé dans liquide ou solide;Océans, volcans, matériaux;Confirmé;Coalescence, drainage;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase dispersée;Émulsion;Liquide dispersé dans un autre liquide;Tensioactifs ou agitation;Biologie, aliments, industrie;Confirmé;Coalescence, inversion de phase;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase magnétique;Ferromagnétique;Aimantation spontanée parallèle;Sous température de Curie;Fer, cobalt, nickel, alliages;Confirmé;Transition paramagnétique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase magnétique;Antiferromagnétique;Moments opposés compensés;Sous température de Néel;Oxydes et solides corrélés;Confirmé;Transition paramagnétique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase magnétique;Ferrimagnétique;Moments opposés non compensés;Sous température critique;Magnétite, ferrites;Confirmé;Transition magnétique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase magnétique;Verre de spin;Moments gelés désordonnés;Frustration et basse température;Alliages désordonnés;Confirmé;Transition de gel;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase électronique;Métal conducteur;États électroniques délocalisés;Bande partiellement remplie;Métaux, plasmas denses;Confirmé;Transitions métal-isolant;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase électronique;Semi-conducteur;Petit gap électronique;Composition et dopage;Silicium, GaAs, oxydes;Confirmé;Dopage, transition optoélectronique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase électronique;Isolant de bande;Bande de valence pleine et gap élevé;Structure électronique;Cristaux ioniques et covalents;Confirmé;Claquage, excitation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase électronique;Isolant de Mott;Localisation due aux corrélations;Interaction électronique forte;Oxydes de métaux de transition;Confirmé;Transition métal-isolant;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase quantique;Supraconducteur type I;Résistance nulle et expulsion du champ;Sous température critique;Métaux purs;Confirmé;Transition supraconductrice;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase quantique;Supraconducteur type II;Vortex quantifiés entre deux champs critiques;Basse température ou haute pression;Alliages, cuprates, hydrures;Confirmé;Fusion du réseau de vortex;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase quantique;Superfluide hélium 4;Écoulement sans viscosité classique;Sous le point lambda;Hélium liquide;Confirmé;Transition lambda;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase quantique;Superfluide hélium 3;Appariement fermionique;Très basse température;Hélium 3 liquide;Confirmé;Transitions superfluides;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase quantique;Condensat de Bose-Einstein;Occupation macroscopique d'un état quantique;Gaz bosonique ultrafroid;Laboratoires;Confirmé;Condensation et expansion;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase quantique;Condensat fermionique;Paires de fermions condensées;Gaz ultrafroid;Laboratoires;Confirmé;Croisement BEC-BCS;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase quantique;Supersolide;Ordre cristallin avec cohérence superfluide;Systèmes ultrafroids ou candidats solides;Laboratoires;Confirmé dans certains systèmes artificiels;Transitions quantiques;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase quantique;Liquide de spin quantique;Ordre magnétique absent avec intrication durable;Frustration quantique;Matériaux candidats;Fortement soutenu, identification dépend du matériau;Excitations fractionnaires;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase topologique;Isolant topologique;Intérieur isolant, états de bord conducteurs;Inversion de bandes et symétrie;Cristaux et couches minces;Confirmé;Transition topologique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase topologique;Semi-métal de Weyl;Nœuds de Weyl dans la structure de bandes;Symétries adaptées;Cristaux quantiques;Confirmé;Transitions topologiques;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase topologique;État Hall quantique entier;Conductance transverse quantifiée;Deux dimensions, champ magnétique, basse température;Hétérostructures;Confirmé;Transitions entre plateaux;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase topologique;État Hall quantique fractionnaire;Excitations fractionnaires et ordre topologique;Deux dimensions, champ élevé;Hétérostructures;Confirmé;Transitions quantiques;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase hors équilibre;Cristal temporel discret;Réponse périodique plus lente que l'excitation;Système périodiquement forcé et isolé ou préthermalisé;Systèmes quantiques contrôlés;Confirmé expérimentalement;Perte de cohérence;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase hors équilibre;État actif;Constituants consommant de l'énergie pour se mouvoir;Flux d'énergie continu;Cellules, colonies, matière active synthétique;Confirmé;Auto-organisation, arrêt;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Phase nucléaire;Matière nucléaire saturée;Nucléons liés à densité nucléaire;Noyaux atomiques;Noyaux;Confirmé;Fission, fusion, désintégration;https://pdg.lbl.gov/
Phase nucléaire;Matière dégénérée électronique;Pression de Fermi des électrons dominante;Très haute densité;Naines blanches, cœurs stellaires;Inféré astrophysiquement et fondé théoriquement;Capture électronique, effondrement;https://pdg.lbl.gov/
Phase nucléaire;Matière neutronique dégénérée;Neutrons dominants à densité extrême;Après effondrement stellaire;Étoiles à neutrons;Inféré astrophysiquement;Refroidissement, transitions internes;https://pdg.lbl.gov/
Phase nucléaire;Pâtes nucléaires;Structures nucléaires en feuilles, tubes ou amas;Densité sous-nucléaire élevée;Croûtes d'étoiles à neutrons;Prédit fortement, indices indirects;Réorganisation sous contrainte;https://pdg.lbl.gov/
